Rank,Gameboy,Gameboy Color,Gameboy Advance,Nintendo DS,Nintendo 3DS,Nintendo DSI,NES,SNES,N64,Gamecube,Wii,Wii U,Switch,Sega SG-1000,Sega Master System,Sega Megadrive/Genesis,Sega GameGear,Sega 32X,Sega CD,Sega Saturn,Dreamcast,PSX,PS2,PS3,PS4,PSP,PS Vita,Amiga,TurboGrafx-16,Atari Lynx,DOS,MSX,MSX2,FBNeo,Neo Geo
11,Wario Land II,Dragon Warrior Monsters,Pokemon FireRed,Ghost Trick: Phantom Detective,Pokemon Omega Ruby,PictureBook Games: Pop-Up Pursuit,River City Ransom,Donkey Kong Country,Donkey Kong 64,Resident Evil,New Super Mario Bros. Wii,Pikmin 3,Fire Emblem: Three Houses,Pitfall II: Lost Caverns,Sonic the Hedgehog 2,Thunder Force IV,Crystal Warriors,Blackthorne,Ecco: The Tides of Time,Fighters Megamix,Resident Evil Code: Veronica,Final Fantasy Tactics,God of War,Uncharted 3: Drake's Deception,Yakuza 0,Monster Hunter Freedom Unite,Uncharted: Golden Abyss,Flashback: The Quest for Identity,Ninja Spirit,Zarlor Mercenary,WarCraft: Orcs & Humans,Dragon Slayer,Xak: The Art of Visual Stage,Battle Circuit,Windjammers
12,Mega Man V,Dragon Warrior Monsters 2,Pokemon LeafGreen,Rhythm Heaven,Pokemon Alpha Sapphire,99Seconds,Mega Man 3,EarthBound,Conker's Bad Fur Day,Animal Crossing,Sin and Punishment: Star Successor,Splatoon,Hollow Knight,Girl's Garden,R-Type,Castlevania: Bloodlines,Wonder Boy: The Dragon's Trap,Motocross Championship,Earthworm Jim: Special Edition,Panzer Dragoon,Ikaruga,Vagrant Story,Ratchet & Clank: Up Your Arsenal,BioShock,MLB The Show 16,Dissidia Final Fantasy,Velocity 2X,Lemmings,Splatterhouse,Gates of Zendocon,Fallout,Salamander,Aleste,DoDonPachi,Metal Slug 2
13,Final Fantasy Adventure,Pokemon Trading Card Game,Metroid: Zero Mission,Dragon Quest IX: Sentinels of the Starry Skies,Pokemon Ultra Sun,Art Style: CODE,Zelda II: The Adventure of Link,Secret of Mana,Banjo-Tooie,Eternal Darkness: Sanity's Requiem,Resident Evil 4: Wii Edition,New Super Mario Bros. U,Celeste,Zaxxon,Wonder Boy in Monster Land,Aladdin,Columns,NBA Jam Tournament Edition,Eternal Champions: Challenge from the Dark Side,X-Men vs. Street Fighter,Phantasy Star Online,Street Fighter Alpha 3,Final Fantasy X,God of War III,Call of Duty: Black Ops 3,Tekken 6,Spelunky,Cannon Fodder,R-Type,Shanghai,Quake,King's Valley,Ys: Ancient Ys Vanished,Sunset Riders,Twinkle Star Sprites
14,Super Mario Land,Wario Land II,Golden Sun,Hotel Dusk: Room 215,Pokemon Ultra Moon,Dark Void Zero,Kirby's Adventure,Final Fantasy IV,Diddy Kong Racing,Luigi's Mansion,Monster Hunter Tri,The Legend of Zelda: Twilight Princess HD,Splatoon 3,Congo Bongo,Shinobi,Streets of Rage,Power Strike II,NFL Quarterback Club,Night Trap,Shining the Holy Ark,Power Stone 2,Spyro: Year of the Dragon,Silent Hill 2,Bayonetta,Dragon Quest XI: Echoes of an Elusive Age,The Legend of Heroes: Trails in the Sky,Velocity Ultra,Turrican II: The Final Fight,Legendary Axe,Rampart,The Secret of Monkey Island,Antarctic Adventure,King's Valley II,Golden Axe: The Revenge of Death Adder,The Last Blade
15,Gargoyle's Quest,Tetris DX,Golden Sun: The Lost Age,Professor Layton and the Unwound Future,Super Smash Bros. for Nintendo 3DS,Mighty Flip Champs!,Tetris,Mega Man X,WWF No Mercy,Fire Emblem: Path of Radiance,Okami,Rayman Legends,Persona 5 Royal,Bomb Jack,Alex Kidd in Shinobi World,Comix Zone,Shinobi II: The Silent Fury,World Series Baseball Starring Deion Sanders,Sewer Shark,Burning Rangers,Rez,Tony Hawk's Pro Skater,Burnout 3: Takedown,Catherine,Tetris Effect,Final Fantasy IV: The Complete Collection,Sly Cooper: Thieves in Time,Sensible World of Soccer,Dungeon Explorer,Xybots,Monkey Island 2: LeChuck's Revenge,Parodius,F1 Spirit 3D Special,X-Men,Magical Drop III
16,Mole Mania,Mario Tennis,Final Fantasy Tactics Advance,Pokemon Black Version 2,Mario Kart 7,Mighty Milky Way,Ninja Gaiden,Kirby Super Star,Ogre Battle 64: Person of Lordly Caliber,Pikmin,Fire Emblem: Radiant Dawn,Lego City Undercover,The Witcher 3: Wild Hunt,H.E.R.O.,Psycho Fox,Rocket Knight Adventures,Dr. Robotnik's Mean Bean Machine,FIFA Soccer '96,Ground Zero Texas,Sonic Jam,Street Fighter III: 3rd Strike,WipEout 2097,SSX 3,Mass Effect 3,Rocket League,Ys Seven,Soul Sacrifice,Speedball 2: Brutal Deluxe,Galaga '90,Gauntlet: The Third Encounter,Indiana Jones and the Fate of Atlantis,Xanadu: Dragon Slayer II,Xak II: Rising of the Redmoon,Final Fight,Top Hunter: Roddy & Cathy
17,Kirby's Dream Land,Mario Golf,Fire Emblem: The Blazing Blade,"Nine Hours, Nine Persons, Nine Doors",Kid Icarus: Uprising,X-Scape,Castlevania,Lufia II: Rise of the Sinistrals,Harvest Moon 64,Pikmin 2,Kirby's Epic Yarn,Shantae and the Pirate's Curse,Dragon Quest XI S: Echoes of an Elusive Age,Elevator Action,Y's: The Vanished Omens,MUSHA,Prince of Persia,Madden NFL '95,Mansion of Hidden Souls,Magic Knight Rayearth,Power Stone,Final Fantasy VIII,Gran Turismo 3: A-Spec,Rock Band 3,Marvel's Spider-Man: Miles Morales,Dissidia 012: Duodecim Final Fantasy,Killzone: Mercenary,Shadow of the Beast,Bomberman '94,Checkered Flag,X-COM: UFO Defense,F-1 Spirit: The Way to Formula-1,Treasure of Usas,Bubble Bobble,Viewpoint
18,Dr. Mario,Pokemon Puzzle Challenge,Mario & Luigi: Superstar Saga,Castlevania: Order of Ecclesia,Fire Emblem Fates: Conquest,Aura-Aura Climber,Castlevania III: Dracula's Curse,Terranigma,F-Zero X,Star Wars Rogue Squadron II: Rogue Leader,Super Paper Mario,Shovel Knight,Monster Hunter Rise,Chack'n Pop,Wonder Boy in Monster World,Earthworm Jim,Ristar,RBI Baseball '95,Dark Wizard,Dark Savior,Dead or Alive 2,Tekken 2,Ratchet & Clank: Going Commando,inFamous,Hollow Knight,Ratchet & Clank: Size Matters,BlazBlue: Continuum Shift Extend,Worms,Air Zonk,Rygar,Dune II: The Building of a Dynasty,Twin Bee,Quarth,Elevator Action Returns,Shock Troopers: 2nd Squad
19,Mega Man III,Mega Man Xtreme,Advance Wars 2: Black Hole Rising,Pokemon Pearl Version,Fire Emblem Fates: Birthright,Mario vs. Donkey Kong: Minis March Again!,Crystalis,Street Fighter II Turbo: Hyper Fighting,Jet Force Gemini,Viewtiful Joe,Punch-Out!!,SteamWorld Heist,Xenoblade Chronicles 2,Teddy Boy Blues,Kenseiden,Shining Force,Streets of Rage,WWF WrestleMania: The Arcade Game,Shining Force CD,Virtua Cop 2,Virtua Tennis,Crash Bandicoot 3: Warped,Pro Evolution Soccer 3,Metal Gear Solid HD Collection,Dishonored 2,Danganronpa: Trigger Happy Havoc,Steins;Gate,Lotus Turbo Challenge 2,Gradius,Toki,Ultima I: The First Age of Darkness,Hydlide II: Shine of Darkness,Gofer no Yabou Episode II,Red Earth,Samurai Shodown II
20,Kid Icarus: Of Myths and Monsters,Mega Man Xtreme 2,"WarioWare, Inc.: Mega Microgame$!",Professor Layton and the Curious Village,Fire Emblem Fates: Revelation,Starship Defense,Teenage Mutant Ninja Turtles II: The Arcade Game,Teenage Mutant Ninja Turtles IV: Turtles in Time,Mario Party,Skies of Arcadia Legends,Kirby's Return to Dream Land,Captain Toad: Treasure Tracker,Luigi's Mansion 3,Loretta no Shouzou: Sherlock Holmes,SpellCaster,Beyond Oasis,Mega Man,Mortal Kombat II,Lords of Thunder,Sonic R,Samba de Amigo,Oddworld: Abe's Exoddus,SSX Tricky,Journey,Tony Hawk's Pro Skater 1+2,Final Fantasy Type-0,Ys VIII: Lacrimosa of Dana,Push-Over,Super Star Soldier,Batman Returns,EarthSiege,La Abadía del Crimen (The Abbey of Crime),Psycho World,Progear,Metal Slug 5
21,Castlevania II: Belmont's Revenge,Donkey Kong Country,Fire Emblem: The Sacred Stones,Pokemon White Version 2,Fire Emblem Echoes: Shadows of Valentia,Dragon Quest Wars,Bubble Bobble,Seiken Densetsu 3,Mario Tennis,Metroid Prime 2: Echoes,No More Heroes,FAST Racing NEO,Pikmin 4,Sindbad Mystery,Miracle Warriors: Seal of the Dark Lord,Landstalker,Vampire: Master of Darkness,Primal Rage,Keio Flying Squadron,Albert Odyssey: Legend of Eldean,ChuChu Rocket!,Soul Blade,Devil May Cry,Far Cry 3,Night in the Woods,Patapon,Danganronpa V3: Killing Harmony,Soccer Kid,Neutopia II,Ninja Gaiden,Sid Meier's Pirates!,Romancia: Dragon Slayer Jr.,Undeadline,Super Puzzle Fighter II Turbo,Metal Slug 4
22,Mario's Picross,Game & Watch Gallery 2,Mega Man Zero 3,Pokemon White Version,Metroid: Samus Returns,Link 'n' Launch,Dragon Warrior,Final Fantasy V,Mario Party 2,Star Fox Adventures,Wario Land: Shake It!,New Super Luigi U,Stardew Valley,Galaga,Zillion,Castle of Illusion Starring Mickey Mouse,Tails Adventure,Pitfall: The Mayan Adventure,Android Assault,Tactics Ogre: Let Us Cling Together,Space Channel 5,Ape Escape,Guitar Hero II,Rayman Legends,Resident Evil 2,Patapon 2,Zero Escape: Virtue's Last Reward,The Lost Vikings,Snatcher,Shadow of the Beast,Duke Nukem 3D,Lode Runner,Contra,Ghouls 'n Ghosts,Aero Fighters 2
23,Donkey Kong Land,Game & Watch Gallery 3,Mega Man Battle Network 3,Pokemon Black Version,Shovel Knight,Pop Island,Castlevania II: Simon's Quest,Donkey Kong Country 3: Dixie Kong's Double Trouble!,Star Wars: Rogue Squadron,Sonic Adventure 2: Battle,Muramasa: The Demon Blade,NES Remix,Bayonetta 3,Star Force,Out Run,Ecco the Dolphin,GG Aleste,Brutal Unleashed: Above the Claw,Robo Aleste,Lunar: Silver Star Story Complete,Rayman 2: The Great Escape,Crash Bandicoot 2: Cortex Strikes Back,TimeSplitters 2,The Walking Dead: A Telltale Game Series,Astro Bot: Rescue Mission,Silent Hill: Origins,Stardew Valley,Pinball Illusions,Ginga Fukei Densetsu Sapphire,S.T.U.N. Runner,Command & Conquer,Yie Ar Kung-Fu,Jesus,R-Type,Spinmaster
24,Pokemon Pinball,Harvest Moon 3 GBC,Castlevania: Circle of the Moon,Professor Layton and the Diabolical Box,Bravely Default,Pop Island: Paperfield,Dragon Warrior IV,Harvest Moon,Kirby 64: The Crystal Shards,The Legend of Zelda: Collector's Edition,No More Heroes 2: Desperate Struggle,NES Remix 2,Bayonetta 2,Hang-On II,Fantasy Zone,ToeJam & Earl,Dynamite Headdy,Cosmic Carnage,Sol-Feace,Akumajou Dracula X: Gekka no Yasoukyoku,Tony Hawk's Pro Skater 2,Ridge Racer Type 4,Tony Hawk's Pro Skater 3,Vanquish,Driveclub,Daxter,Undertale,Dune,Magical Chase,Electrocop,Command & Conquer: Red Alert,Guardic,Sorcerian,Rainbow Islands,Magician Lord
25,Donkey Kong Land 2,R-Type DX,Super Mario Advance 2: Super Mario World,WarioWare: Touched!,Bravely Second: End Layer,Tetris Party Live,Bionic Commando,Super Castlevania IV,Blast Corps,The Legend of Zelda: Ocarina of Time - Master Quest,GoldenEye 007,Nintendo Land,Astral Chain,Monaco GP,Fantasy Zone II: The Tears of Opa-Opa,Vectorman,NBA Jam,Toughman Contest,AH-3 Thunderstrike,Die Hard Arcade,Sega Rally 2,Oddworld: Abe's Oddysee,ICO,Yakuza 3,Gravity Rush 2,Valkyria Chronicles 3,The Walking Dead,Slam Tilt,Ys III: Wanderers from Ys,Dracula the Undead,Wolfenstein 3D,Boulder Dash,F1 Spirit: The Way to Formula-1,Armored Warriors,Last Resort
26,Mega Man: Dr. Wily's Revenge,Dragon Warrior I & II,Mario Kart: Super Circuit,Mario & Luigi: Partners in Time,Monster Hunter 4 Ultimate,Photo Dojo,Duck Hunt,Illusion of Gaia,Wave Race 64,Metal Gear Solid: The Twin Snakes,Silent Hill: Shattered Memories,Wii Party U,Splatoon 2,GP World,Power Strike,The Revenge of Shinobi,Mortal Kombat II,BC Racers,Batman Returns,Street Fighter Alpha 2,House of the Dead 2,Resident Evil 3: Nemesis,Virtua Fighter 4: Evolution,Borderlands,The Last Guardian,Mega Man Maverick Hunter X,Shovel Knight,Populous,Neutopia,Joust,Prince of Persia,Arkanoid,Dragon Slayer IV: Drasle Family,Captain Commando,Puzzle Bobble 2
27,Mega Man II,Dragon Warrior III,Wario Land 4,Pokemon Diamond Version,Monster Hunter 3 Ultimate,Pinball Pulse: The Ancients Beckon,StarTropics,Breath of Fire II,Resident Evil 2,Resident Evil Zero,Little King's Story,Wii Fit U,Super Mario 3D World + Bowser's Fury,Zippy Race,Space Harrier,Streets of Rage 3,Lucky Dime Caper Starring Donald Duck,T-Mek,Bram Stoker's Dracula,Astal,Dynamite Cop,Resident Evil,Dragon Quest VIII: Journey of the Cursed King,Kingdom Hearts HD 1.5 ReMIX,Transistor,Corpse Party,VA-11 Hall-A: Cyberpunk Bartender Action,Defender of the Crown,Legendary Axe II,Xenophobe,Ultima VII: The Black Gate,Eggerland 2,Fire Hawk: Thexder - The Second Contact,The King of Dragons,Strikers 1945 Plus
28,Mega Man IV,Conker's Pocket Tales,Kirby & The Amazing Mirror,Kirby: Squeak Squad,Monster Hunter Generations,Castle of Magic,Baseball Stars,ActRaiser,Pokemon Snap,Resident Evil 2,Pandora's Tower,Game & Wario,Donkey Kong Country: Tropical Freeze,F-16 Fighting Falcon,After Burner,Golden Axe,Deep Duck Trouble Starring Donald Duck,Tempo,Dungeon Explorer,Virtua Fighter,Hydro Thunder,Legacy of Kain: Soul Reaver,Shin Megami Tensei: Persona 3 FES,Portal 2,Return of the Obra Dinn,Star Ocean: Second Evolution,Borderlands 2,Kick Off 2,Bomberman '93,RoadBlasters,Ultima Underworld: The Stygian Abyss,Bubble Bobble,Hydlide 3: The Space Memories,Ninja Baseball Bat Man,Aero Fighters 3
29,Kirby's Star Stacker,Bionic Commando: Elite Forces,Mother 3,Castlevania: Portrait of Ruin,Monster Hunter Stories,AlphaBounce,Excitebike,Secret of Evermore,Turok: Dinosaur Hunter,Resident Evil 3: Nemesis,Metroid: Other M,Yoshi's Woolly World,Kirby and the Forgotten Land,Golgo 13,Sonic Chaos,Strider,Aladdin,Zaxxon's Motherbase 2000,Eye of the Beholder,Daytona USA,NFL 2K,Spyro 2: Ripto's Rage,Prince of Persia: The Sands of Time,Dragon's Dogma,Hohokum,Hexyz Force,The Wolf Among Us,Stunt Car Racer,Parasol Stars,Paperboy,Wing Commander,The Tower of Druaga,Star Cruiser,Michael Jackson's Moonwalker,Alpha Mission II
30,Final Fantasy Legend II,Lufia: The Legend Returns,Astro Boy: Omega Factor,Kingdom Hearts 358/2 Days,Luigi's Mansion: Dark Moon,Zenonia,Blaster Master,Contra III: The Alien Wars,Mischief Makers,Resident Evil Code: Veronica X,Arc Rise Fantasia,Paper Mario: Color Splash,Metroid Prime Remastered,007 James Bond,Deep Duck Trouble Starring Donald Duck,Thunder Force III,The Lion King,Golf Magazine Presents 36 Great Holes Starring Fred Couples,Heimdall,Daytona USA Championship Circuit Edition,NBA 2K,Klonoa: Door to Phantomile,Pro Evolution Soccer 4,Yakuza 4,Horizon Zero Dawn,ZHP: Unlosing Ranger VS Darkdeath Evilman,Danganronpa 2: Goodbye Despair,Turrican,Parodius Da!,Qix,Star Wars: TIE Fighter,Magical Tree,Valis: The Fantasm Soldier,Parodius Da!,Waku Waku 7
31,Donkey Kong Land III,Toki Tori,Mega Man Zero,Pokemon Ranger: Shadows of Almia,Luigi's Mansion,Escapee GO!,Dragon Warrior III,Super Street Fighter II: The New Challengers,Turok 2: Seeds of Evil,Baten Kaitos: Eternal Wings and the Lost Ocean,Sonic Colors,Star Fox Zero,Pokemon Legends: Arceus,Rock n' Bolt,Lucky Dime Caper Starring Donald Duck,Dynamite Headdy,Legend of Illusion Starring Mickey Mouse,DarXide,Rise of the Dragon,Virtua Cop,NFL 2K1,Silent Hill,Devil May Cry 3: Special Edition,Ultimate Marvel vs. Capcom 3,NieR: Automata,Grand Theft Auto: Chinatown Wars,Zero Escape: The Nonary Games,The Settlers,Dragon's Curse,Double Dragon,Ultima III: Exodus,Galaga,Princess Maker,Chase H.Q.,The King of Fighters '98
32,Final Fantasy Legend III,Warlocked,Mega Man Zero 2,Apollo Justice: Ace Attorney,Kirby: Planet Robobot,Rayman,Metal Gear,Killer Instinct,Pokemon Stadium,Baten Kaitos Origins,Excitebots: Trick Racing,Pokken Tournament,Pokemon Scarlet,Soukoban,Legend of Illusion Starring Mickey Mouse,Ristar,Sonic Drift 2,Fahrenheit,The Secret of Monkey Island,Shining Wisdom,NBA 2K1,Colony Wars,Tony Hawk's Pro Skater 4,Final Fantasy XIII,Dark Souls III,LocoRoco 2,Zero Escape: Zero Time Dilemma,Syndicate,Bonk 3: Bonk's Big Adventure,Ishido: The Way of Stones,Pirates! Gold,Athletic Land,Xak III: The Tower of Gazzel,Space Harrier,Baseball Stars 2
33,Tetris Attack,Hamtaro: Ham-Hams Unite!,Mega Man Zero 4,Pokemon Ranger,Kirby: Triple Deluxe,Soul of Darkness,Super Dodge Ball,Demon's Crest,Tony Hawk's Pro Skater 2,Custom Robo,Fragile Dreams: Farewell Ruins of the Moon,Tokyo Mirage Sessions #FE,Pokemon Violet,Zoom 909,Ecco the Dolphin,Alien Soldier,Micro Machines,Night Trap,Heart of the Alien,Clockwork Knight,NBA 2K2,Syphon Filter,NBA Street Vol. 2,Grand Theft Auto IV,Ghost of Tsushima,Tony Hawk's Underground 2 Remix,Gravity Rush,Elite,New Adventure Island,Turbo Sub,Warlords,Time Pilot,Silpheed,After Burner II,Nightmare in the Dark
34,Game & Watch Gallery,Legend of the River King,Mega Man Battle Network 6,Metroid Prime Hunters,Kirby's Extra Epic Yarn,Thorium Wars,Kid Icarus,Zombies Ate My Neighbors,Shadow Man,Donkey Kong Jungle Beat,Wii Sports Resort,The Wonderful 101,Dead Cells,Star Jacker,Lord of the Sword,Road Rash II,Lemmings,Corpse Killer,Flashback,Clockwork Knight 2,Metropolis Street Racer,Chrono Cross,Gran Turismo 4,Ratchet & Clank Future: A Crack in Time,Devil May Cry 5,Gitaroo Man Lives!,Salt and Sanctuary,Wings,Star Parodier,Battlezone 2000,Crusader: No Remorse,Abu Simbel Profanation,Laydock 2: Last Attack,Xexex,Prehistoric Isle 2
